latitud,longitud,salud,bomberos,policia
-6.13,-80.73,0,0,0
-8.89,-74.84,0,0,0
-10.27,-75.64,0,0,0
-7.95,-76.3,0,0,0
-17.68,-69.72,0,0,0
-14.8,-71.91,0,0,0
-6.31,-77.55,3,0,2
-13.61,-77.09,0,0,0
-4.98,-81.21,0,0,0
-8.35,-76.07,0,0,0
-4.39,-80.85,0,0,0
-16.77,-72.23,0,0,0
-16.79,-72.68,0,0,0
-14.2,-75.2,0,0,0
-8.31,-75.6,0,0,0
-15.92,-74.79,0,0,0
-11.91,-77.31,0,0,0
-16.21,-73.81,0,0,0
-12.61,-76.93,0,0,0
-8.94,-76.17,1,1,1
-10.04,-75.46,0,0,0
-14.02,-76.19,0,0,0
-11.67,-76.29,1,0,2
-11.79,-77.5,0,0,0
-16.49,-72.66,1,0,1
-12.67,-75.61,0,0,0
-4.29,-75.62,0,0,0
-11.7,-77.63,0,0,0
-12.47,-76.69,1,1,3
-17.53,-69.99,1,1,3
-5.09,-76.41,0,0,0
-12.5,-76.73,2,1,1
-14.85,-75.34,0,0,0
-12.49,-76.77,2,1,1
-12.48,-76.75,2,1,2
-15.15,-74.22,0,0,0
-15.67,-74.18,0,0,0
-9.0,-80.11,0,0,0
-13.15,-75.71,0,0,0
-15.58,-75.14,0,0,0
-13.78,-71.9,0,0,1
-17.61,-69.69,1,0,0
-19.17,-67.68,0,0,0
-5.81,-78.75,0,0,1
-5.36,-80.54,3,0,0
-4.88,-80.9,7,0,4
-14.93,-71.95,0,0,0
-16.87,-73.34,0,0,0
-8.68,-74.48,0,0,0
-16.07,-71.58,0,0,0
-7.21,-76.81,2,1,0
-14.84,-75.31,0,0,0
-12.57,-76.85,1,0,1
-12.72,-76.71,2,1,1
-17.66,-70.72,1,1,1
-11.3,-73.3,0,0,0
-14.32,-75.9,0,0,0
-16.25,-73.59,1,0,1
-11.34,-74.47,1,0,0
-12.7,-77.36,0,0,0
-8.47,-75.6,0,0,0
-16.74,-71.21,1,0,0
-9.98,-79.04,0,0,0
-8.8,-74.73,0,0,0
-17.84,-69.64,0,0,0
-9.79,-80.3,0,0,0
-11.41,-77.8,0,0,0
-10.7,-78.46,0,0,0
-16.03,-74.67,0,0,0
